Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date
Heroine,"R Jay Kang, Neelkamal Singh, Arun Bihari",Heroine,6TnjZaoIUBsgpLzjk3fmhA,6R9DVbFDwO8pwwkd515vyr,68,2022-12-05
"Morni Banke (From ""Badhaai Ho"")","Guru Randhawa, Neha Kakkar, Tanishk Bagchi, Panjabi MC","Morni Banke (From ""Badhaai Ho"")",1lTV7wbMeSmLrBOjf42FER,2Wu9PNpLUCBl3W1GaPqkhl,59,2018-09-26
Gaddi Red Challenger,"Babbulicious, J-Statik",Gaddi Red Challenger,1CcsWReP4vKGkdR1P4tClX,7xHad6YA5ca4OOVs3m5RWQ,51,2022-11-02
Pata Nahi Kis Roop Me Akar,Aadarsh Buddy,Pata Nahi Kis Roop Me Akar,4Nksh1bMsFKOfu0onqIzpC,5W8c6uyhc1Hz6fnLJ9oqFc,0,2022-11-30
Players,"Badshah, Karan Aujla, Devika Badyal",Players,2ap6wepv8WNqHCxJiclPIL,5TjVLCESR9XIp5vDAWYfmi,59,2022-12-21
